node_s,node_f,trail,distance,color
node0,node1,rs,3.7,black
node1,node2,rs,3.5,black
node0,node3,rs,2,black
node3,node4,rs,3.9,black
node1,node4,rs,2.01,black
node3,node5,rs,0.55,black
node5,node6,rs,2.9,black
node5,node8,rs,0.55,black
node8,node9,rs,2.9,black
node4,node7,rs,3.85,black
node4,node10,rs,1.401,black
node8,node11,rs,1.23,black
node11,node10,rs,4.5768,black
node7,node12,rs,0.4272,black
node10,node12,rs,3.28672,black
node12,node13,rs,3.76431,black
node13,node14,rs,0.60828,black
node14,node15,rs,0.6,black
node13,node18,rs,1.5,black
node14,node17,rs,1.4,black
node15,node16,rs,1.4,black
node16,node17,rs,0.6,black
node17,node18,rs,0.6,black
