INDEX,RCR,UTC,LOCAL TIME,VALID,LATITUDE,N/S,LONGITUDE,E/W,HEIGHT,SPEED
1,T,2016/10/07 05:22:16.000,2016/10/07 14:22:16.000,SPS,37.610869,N,126.997126,E,139.176 M,0.090 km/h
2,T,2016/10/07 05:22:22.000,2016/10/07 14:22:22.000,SPS,37.610880,N,126.997014,E,137.718 M,0.006 km/h
3,T,2016/10/07 05:22:27.000,2016/10/07 14:22:27.000,SPS,37.610936,N,126.997076,E,135.527 M,0.011 km/h
4,T,2016/10/07 05:22:32.000,2016/10/07 14:22:32.000,SPS,37.610955,N,126.997098,E,134.494 M,0.036 km/h
5,T,2016/10/07 05:23:35.000,2016/10/07 14:23:35.000,SPS,37.610786,N,126.996792,E,173.492 M,0.516 km/h
6,T,2016/10/07 05:23:41.000,2016/10/07 14:23:41.000,SPS,37.610904,N,126.997014,E,139.182 M,0.017 km/h
7,T,2016/10/07 05:23:46.000,2016/10/07 14:23:46.000,SPS,37.610932,N,126.997030,E,145.479 M,0.080 km/h
8,T,2016/10/07 05:23:51.000,2016/10/07 14:23:51.000,SPS,37.610942,N,126.997050,E,137.567 M,0.035 km/h
9,T,2016/10/07 05:23:56.000,2016/10/07 14:23:56.000,SPS,37.610935,N,126.997046,E,139.141 M,0.199 km/h
10,T,2016/10/07 05:24:01.000,2016/10/07 14:24:01.000,SPS,37.610930,N,126.997049,E,141.438 M,0.119 km/h
11,T,2016/10/07 05:24:06.000,2016/10/07 14:24:06.000,SPS,37.610928,N,126.997058,E,140.207 M,0.187 km/h
12,T,2016/10/07 05:27:47.000,2016/10/07 14:27:47.000,SPS,37.611025,N,126.997002,E,127.417 M,1.302 km/h
13,B,2016/10/07 05:27:51.000,2016/10/07 14:27:51.000,SPS,37.610994,N,126.997042,E,141.732 M,1.308 km/h
14,T,2016/10/07 05:27:56.000,2016/10/07 14:27:56.000,SPS,37.611002,N,126.997072,E,138.443 M,0.594 km/h
15,T,2016/10/07 05:28:01.000,2016/10/07 14:28:01.000,SPS,37.610963,N,126.997025,E,140.961 M,11.739 km/h
16,T,2016/10/07 05:28:06.000,2016/10/07 14:28:06.000,SPS,37.610762,N,126.997339,E,141.996 M,36.952 km/h
17,T,2016/10/07 05:28:11.000,2016/10/07 14:28:11.000,SPS,37.610454,N,126.997696,E,145.057 M,27.227 km/h
18,T,2016/10/07 05:28:16.000,2016/10/07 14:28:16.000,SPS,37.610360,N,126.998296,E,137.953 M,41.310 km/h
19,T,2016/10/07 05:28:21.000,2016/10/07 14:28:21.000,SPS,37.610652,N,126.998615,E,126.673 M,24.521 km/h
20,T,2016/10/07 05:28:26.000,2016/10/07 14:28:26.000,SPS,37.610920,N,126.998883,E,118.604 M,30.944 km/h
21,T,2016/10/07 05:28:31.000,2016/10/07 14:28:31.000,SPS,37.611172,N,126.999178,E,114.619 M,28.552 km/h
22,T,2016/10/07 05:28:36.000,2016/10/07 14:28:36.000,SPS,37.611210,N,126.999556,E,113.081 M,4.493 km/h
23,T,2016/10/07 05:28:41.000,2016/10/07 14:28:41.000,SPS,37.611130,N,126.999347,E,107.835 M,15.554 km/h
24,T,2016/10/07 05:28:46.000,2016/10/07 14:28:46.000,SPS,37.610835,N,126.999301,E,101.819 M,32.958 km/h
25,T,2016/10/07 05:28:51.000,2016/10/07 14:28:51.000,SPS,37.610348,N,126.999405,E,95.711 M,38.092 km/h
26,T,2016/10/07 05:28:56.000,2016/10/07 14:28:56.000,SPS,37.609763,N,126.999479,E,89.407 M,43.410 km/h
27,T,2016/10/07 05:29:01.000,2016/10/07 14:29:01.000,SPS,37.609192,N,126.999636,E,88.512 M,34.524 km/h
28,T,2016/10/07 05:29:06.000,2016/10/07 14:29:06.000,SPS,37.608927,N,126.999661,E,85.600 M,8.368 km/h
