Stress(MPa),Strain(%)
0,0
1.27,0.00823
3.55,0.023
5.83,0.0379
7.86,0.051
9.88,0.0642
12.2,0.079
14.2,0.0922
16.2,0.105332456
18.2,0.118499013
20.3,0.131665569
22.6,0.146477946
24.6,0.159644503
26.9,0.17445688
29.1,0.189269256
31.2,0.202435813
33.5,0.21724819
35.5,0.230414747
37.5,0.243581303
39.5,0.25674786
41.6,0.269914417
43.8,0.284726794
45.9,0.297893351
48.2,0.312705727
50.4,0.327518104
52.5,0.340684661
54.7,0.355497038
56.8,0.368663594
58.8,0.381830151
61.1,0.396642528
63.1,0.409809085
65.1,0.422975642
67.4,0.437788018
69.7,0.452600395
71.7,0.465766952
74,0.480579329
76,0.493745885
78.1,0.506912442
80.3,0.521724819
82.4,0.534891376
84.4,0.548057933
86.4,0.56122449
88.7,0.576036866
91,0.590849243
93.3,0.605661619
95.3,0.618828176
97.6,0.633640553
99.6,0.64680711
102,0.659973667
104,0.673140224
106,0.686306781
108,0.699473338
110,0.715931534
112,0.729098091
115,0.743910467
117,0.757077024
119,0.771889401
121,0.785055958
123,0.798222515
125,0.811389072
127,0.824555629
129,0.837722186
132,0.854180382
134,0.867346939
136,0.882159315
138,0.895325872
140,0.910138249
142,0.923304806
144,0.936471363
146,0.94963792
148,0.962804477
151,0.977616853
153,0.99242923
155,1.005595787
157,1.020408163
159,1.03522054
161,1.048387097
163,1.061553654
166,1.074720211
168,1.087886768
170,1.101053325
172,1.115865701
174,1.130678078
176,1.143844635
178,1.158657011
181,1.173469388
183,1.186635945
185,1.199802502
187,1.212969059
189,1.226135616
191,1.240947992
193,1.255760369
195,1.268926926
198,1.283739302
200,1.296905859
202,1.311718236
204,1.324884793
206,1.33805135
208,1.351217907
210,1.364384463
212,1.37755102
214,1.392363397
217,1.407175774
219,1.42198815
221,1.435154707
223,1.449967084
225,1.463133641
227,1.476300197
229,1.489466754
231,1.502633311
233,1.515799868
236,1.532258065
238,1.545424621
240,1.560236998
242,1.573403555
245,1.588215932
247,1.601382488
249,1.614549045
251,1.627715602
253,1.640882159
255,1.655694536
257,1.670506912
259,1.683673469
262,1.698485846
264,1.713298223
266,1.726464779
268,1.739631336
270,1.754443713
272,1.76761027
274,1.780776827
276,1.793943384
279,1.80875576
281,1.823568137
283,1.838380513
285,1.85154707
287,1.866359447
289,1.879526004
291,1.891046741
294,1.905859118
295,1.917379855
298,1.932192232
300,1.947004608
302,1.960171165
304,1.974983542
306,1.989795918
308,2.002962475
310,2.016129032
313,2.029295589
315,2.042462146
317,2.055628703
319,2.07044108
321,2.085253456
323,2.098420013
325,2.11323239
328,2.128044766
330,2.141211323
332,2.15437788
334,2.167544437
336,2.182356814
338,2.193877551
340,2.208689928
342,2.223502304
345,2.238314681
347,2.253127057
349,2.266293614
351,2.279460171
353,2.294272548
352.0186912,2.307439105
351.4025067,2.320605662
349.9388642,2.333772219
349.2417748,2.346938776
348.2684648,2.361751152
346.4991817,2.376563529
346.0260108,2.391375905
344.5827988,2.404542462
344.0671325,2.419354839
344.2608138,2.432521396
343.7042864,2.445687953
343.7614919,2.45885451
343.2793316,2.472021066
343.169824,2.486833443
343.1011774,2.5
342.8151502,2.514812377
343.3234615,2.529624753
342.6615126,2.54279131
342.8682695,2.555957867
343.6184782,2.570770244
342.8682695,2.582290981
342.7693858,2.595457538
342.344431,2.610269914
342.5683495,2.625082291
342.833129,2.638248848
342.5683495,2.653061224
342.8903345,2.667873601
342.6124794,2.681040158
343.2049645,2.694206715
