Date,Hum,Hum1,Hum2,Hum3,Hum4,Hum5,Hum6,Hum7,Hum8,Hum9,Hum10,Hum11,Hum12,Hum13,Hum14,Hum15,Hum16,Hum17,Hum18,Hum19,Hum20,Hum21,Hum22,Hum23,Hum24,Hum25,Hum26,Hum27,Hum28,Hum29,Hum30,Hum31
2017-01-01,75.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-02,77.8,75.9,75.9,75.9,75.9,75.9,75.9,75.9,75.9,75.9,75.9,75.9,75.9,75.9,75.9,75.9,75.9,75.9,75.9,75.9,75.9,75.9,75.9,75.9,75.9,75.9,75.9,75.9,75.9,75.9,75.9,75.9
2017-01-03,61.8,77.8,153.7,153.7,153.7,153.7,153.7,153.7,153.7,153.7,153.7,153.7,153.7,153.7,153.7,153.7,153.7,153.7,153.7,153.7,153.7,153.7,153.7,153.7,153.7,153.7,153.7,153.7,153.7,153.7,153.7,153.7
2017-01-04,55.0,61.8,139.6,215.5,215.5,215.5,215.5,215.5,215.5,215.5,215.5,215.5,215.5,215.5,215.5,215.5,215.5,215.5,215.5,215.5,215.5,215.5,215.5,215.5,215.5,215.5,215.5,215.5,215.5,215.5,215.5,215.5
2017-01-05,52.3,55.0,116.8,194.6,270.5,270.5,270.5,270.5,270.5,270.5,270.5,270.5,270.5,270.5,270.5,270.5,270.5,270.5,270.5,270.5,270.5,270.5,270.5,270.5,270.5,270.5,270.5,270.5,270.5,270.5,270.5,270.5
2017-01-06,58.5,52.3,107.3,169.1,246.89999999999998,322.79999999999995,322.79999999999995,322.79999999999995,322.79999999999995,322.79999999999995,322.79999999999995,322.79999999999995,322.79999999999995,322.79999999999995,322.79999999999995,322.79999999999995,322.79999999999995,322.79999999999995,322.79999999999995,322.79999999999995,322.79999999999995,322.79999999999995,322.79999999999995,322.79999999999995,322.79999999999995,322.79999999999995,322.79999999999995,322.79999999999995,322.79999999999995,322.79999999999995,322.79999999999995,322.79999999999995
2017-01-07,64.9,58.5,110.8,165.8,227.60000000000002,305.40000000000003,381.30000000000007,381.30000000000007,381.30000000000007,381.30000000000007,381.30000000000007,381.30000000000007,381.30000000000007,381.30000000000007,381.30000000000007,381.30000000000007,381.30000000000007,381.30000000000007,381.30000000000007,381.30000000000007,381.30000000000007,381.30000000000007,381.30000000000007,381.30000000000007,381.30000000000007,381.30000000000007,381.30000000000007,381.30000000000007,381.30000000000007,381.30000000000007,381.30000000000007,381.30000000000007
2017-01-08,61.4,64.9,123.4,175.7,230.7,292.5,370.3,446.20000000000005,446.20000000000005,446.20000000000005,446.20000000000005,446.20000000000005,446.20000000000005,446.20000000000005,446.20000000000005,446.20000000000005,446.20000000000005,446.20000000000005,446.20000000000005,446.20000000000005,446.20000000000005,446.20000000000005,446.20000000000005,446.20000000000005,446.20000000000005,446.20000000000005,446.20000000000005,446.20000000000005,446.20000000000005,446.20000000000005,446.20000000000005,446.20000000000005
2017-01-09,60.8,61.4,126.30000000000001,184.8,237.10000000000002,292.1,353.90000000000003,431.70000000000005,507.6,507.6,507.6,507.6,507.6,507.6,507.6,507.6,507.6,507.6,507.6,507.6,507.6,507.6,507.6,507.6,507.6,507.6,507.6,507.6,507.6,507.6,507.6,507.6
2017-01-10,45.1,60.8,122.19999999999999,187.1,245.6,297.9,352.9,414.7,492.5,568.4,568.4,568.4,568.4,568.4,568.4,568.4,568.4,568.4,568.4,568.4,568.4,568.4,568.4,568.4,568.4,568.4,568.4,568.4,568.4,568.4,568.4,568.4
2017-01-11,36.4,45.1,105.9,167.3,232.20000000000002,290.70000000000005,343.00000000000006,398.00000000000006,459.80000000000007,537.6,613.5,613.5,613.5,613.5,613.5,613.5,613.5,613.5,613.5,613.5,613.5,613.5,613.5,613.5,613.5,613.5,613.5,613.5,613.5,613.5,613.5,613.5
2017-01-12,43.1,36.4,81.5,142.3,203.70000000000002,268.6,327.1,379.40000000000003,434.40000000000003,496.20000000000005,574.0,649.9,649.9,649.9,649.9,649.9,649.9,649.9,649.9,649.9,649.9,649.9,649.9,649.9,649.9,649.9,649.9,649.9,649.9,649.9,649.9,649.9
2017-01-13,47.4,43.1,79.5,124.6,185.39999999999998,246.79999999999998,311.7,370.2,422.5,477.5,539.3,617.0999999999999,692.9999999999999,692.9999999999999,692.9999999999999,692.9999999999999,692.9999999999999,692.9999999999999,692.9999999999999,692.9999999999999,692.9999999999999,692.9999999999999,692.9999999999999,692.9999999999999,692.9999999999999,692.9999999999999,692.9999999999999,692.9999999999999,692.9999999999999,692.9999999999999,692.9999999999999,692.9999999999999
2017-01-14,33.3,47.4,90.5,126.9,172.0,232.8,294.2,359.1,417.6,469.90000000000003,524.9000000000001,586.7,664.5,740.4,740.4,740.4,740.4,740.4,740.4,740.4,740.4,740.4,740.4,740.4,740.4,740.4,740.4,740.4,740.4,740.4,740.4,740.4
2017-01-15,35.3,33.3,80.69999999999999,123.79999999999998,160.2,205.29999999999998,266.09999999999997,327.49999999999994,392.4,450.9,503.2,558.2,620.0,697.8,773.6999999999999,773.6999999999999,773.6999999999999,773.6999999999999,773.6999999999999,773.6999999999999,773.6999999999999,773.6999999999999,773.6999999999999,773.6999999999999,773.6999999999999,773.6999999999999,773.6999999999999,773.6999999999999,773.6999999999999,773.6999999999999,773.6999999999999,773.6999999999999
2017-01-16,37.6,35.3,68.6,116.0,159.1,195.5,240.6,301.4,362.79999999999995,427.69999999999993,486.19999999999993,538.4999999999999,593.4999999999999,655.2999999999998,733.0999999999998,808.9999999999998,808.9999999999998,808.9999999999998,808.9999999999998,808.9999999999998,808.9999999999998,808.9999999999998,808.9999999999998,808.9999999999998,808.9999999999998,808.9999999999998,808.9999999999998,808.9999999999998,808.9999999999998,808.9999999999998,808.9999999999998,808.9999999999998
2017-01-17,46.6,37.6,72.9,106.2,153.6,196.7,233.1,278.2,339.0,400.4,465.29999999999995,523.8,576.0999999999999,631.0999999999999,692.8999999999999,770.6999999999998,846.5999999999998,846.5999999999998,846.5999999999998,846.5999999999998,846.5999999999998,846.5999999999998,846.5999999999998,846.5999999999998,846.5999999999998,846.5999999999998,846.5999999999998,846.5999999999998,846.5999999999998,846.5999999999998,846.5999999999998,846.5999999999998
2017-01-18,68.9,46.6,84.2,119.5,152.8,200.20000000000002,243.3,279.7,324.8,385.6,447.0,511.9,570.4,622.6999999999999,677.6999999999999,739.4999999999999,817.2999999999998,893.1999999999998,893.1999999999998,893.1999999999998,893.1999999999998,893.1999999999998,893.1999999999998,893.1999999999998,893.1999999999998,893.1999999999998,893.1999999999998,893.1999999999998,893.1999999999998,893.1999999999998,893.1999999999998,893.1999999999998
2017-01-19,55.4,68.9,115.5,153.1,188.39999999999998,221.7,269.09999999999997,312.2,348.59999999999997,393.7,454.5,515.9,580.8,639.3,691.5999999999999,746.5999999999999,808.3999999999999,886.1999999999998,962.0999999999998,962.0999999999998,962.0999999999998,962.0999999999998,962.0999999999998,962.0999999999998,962.0999999999998,962.0999999999998,962.0999999999998,962.0999999999998,962.0999999999998,962.0999999999998,962.0999999999998,962.0999999999998
2017-01-20,70.3,55.4,124.30000000000001,170.9,208.5,243.8,277.1,324.5,367.6,404.0,449.1,509.90000000000003,571.3000000000001,636.2,694.7,747.0,802.0,863.8,941.5999999999999,1017.4999999999999,1017.4999999999999,1017.4999999999999,1017.4999999999999,1017.4999999999999,1017.4999999999999,1017.4999999999999,1017.4999999999999,1017.4999999999999,1017.4999999999999,1017.4999999999999,1017.4999999999999,1017.4999999999999
