,Location,Date,Hum,Raf,Tmx,Tav,Tmi,landUse,Mosq
0,양평빗물펌프장,2011-05-01 00:00:00,74.9,0.0,15.7,12.5,9.9,3.0,83.0
1,양평빗물펌프장,2011-05-02 00:00:00,57.6,0,20.7,14.2,8.5,3.0,83.0
2,양평빗물펌프장,2011-05-03 00:00:00,44.1,0,20.6,15.3,11.9,3.0,83.0
3,양평빗물펌프장,2011-05-04 00:00:00,41.5,0,21.8,15.9,10.6,3.0,83.0
4,양평빗물펌프장,2011-05-05 00:00:00,35.9,0,23.7,17.5,12.7,3.0,0.0
5,양평빗물펌프장,2011-05-06 00:00:00,63.3,0.5,17.9,15.4,13.2,3.0,0.0
6,양평빗물펌프장,2011-05-07 00:00:00,80.6,3.5,21.8,14.5,11.5,3.0,0.0
7,양평빗물펌프장,2011-05-08 00:00:00,56.1,0,24.1,17.3,10.3,3.0,0.0
8,양평빗물펌프장,2011-05-09 00:00:00,78.8,4.0,22.0,17.6,14.6,3.0,0.0
9,양평빗물펌프장,2011-05-10 00:00:00,89.3,6.5,18.5,16.5,14.5,3.0,0.0
10,양평빗물펌프장,2011-05-11 00:00:00,74.6,14.0,21.1,17.2,14.4,3.0,0.0
11,양평빗물펌프장,2011-05-12 00:00:00,64.0,0.0,20.2,15.7,11.5,3.0,0.0
12,양평빗물펌프장,2011-05-13 00:00:00,56.5,0,20.6,14.6,10.3,3.0,0.0
13,양평빗물펌프장,2011-05-14 00:00:00,39.8,0,22.9,17.2,12.1,3.0,83.0
14,양평빗물펌프장,2011-05-15 00:00:00,50.0,0,22.9,17.2,13.0,3.0,0.0
15,양평빗물펌프장,2011-05-16 00:00:00,48.4,0,22.2,16.4,10.9,3.0,0.0
16,양평빗물펌프장,2011-05-17 00:00:00,35.4,0,22.8,17.5,11.6,3.0,83.0
17,양평빗물펌프장,2011-05-18 00:00:00,40.9,0.0,25.4,20.5,13.8,3.0,83.0
18,양평빗물펌프장,2011-05-19 00:00:00,60.4,0.4,23.6,20.7,18.8,3.0,83.0
19,양평빗물펌프장,2011-05-20 00:00:00,89.8,15.0,20.5,17.5,15.6,3.0,8.0
20,양평빗물펌프장,2011-05-21 00:00:00,85.1,2.0,17.7,14.5,12.6,3.0,1.0
21,양평빗물펌프장,2011-05-22 00:00:00,57.8,0,23.3,17.3,10.7,3.0,83.0
22,양평빗물펌프장,2011-05-23 00:00:00,45.3,0,25.9,19.5,15.3,3.0,0.0
23,양평빗물펌프장,2011-05-24 00:00:00,39.5,0,28.0,21.5,14.1,3.0,0.0
24,양평빗물펌프장,2011-05-25 00:00:00,41.4,0,28.2,22.7,16.7,3.0,0.0
25,양평빗물펌프장,2011-05-26 00:00:00,47.9,0.0,24.0,20.7,17.9,3.0,0.0
26,양평빗물펌프장,2011-05-27 00:00:00,53.5,0,24.5,20.1,15.6,3.0,83.0
27,양평빗물펌프장,2011-05-28 00:00:00,48.0,0,28.9,22.4,15.7,3.0,83.0
28,양평빗물펌프장,2011-05-29 00:00:00,40.4,0,31.2,24.4,18.4,3.0,83.0
29,양평빗물펌프장,2011-05-30 00:00:00,41.6,0,28.1,22.7,18.6,3.0,83.0
30,양평빗물펌프장,2011-05-31 00:00:00,66.5,7.5,23.7,18.7,15.4,3.0,1.0
31,양평빗물펌프장,2011-06-01 00:00:00,76.9,21.5,21.6,18.0,14.7,3.0,3.0
32,양평빗물펌프장,2011-06-02 00:00:00,73.6,0,24.7,19.0,15.1,3.0,1.0
33,양평빗물펌프장,2011-06-03 00:00:00,67.0,0,24.8,19.0,14.4,3.0,1.0
34,양평빗물펌프장,2011-06-04 00:00:00,76.8,0.5,24.6,18.7,15.8,3.0,3.0
35,양평빗물펌프장,2011-06-05 00:00:00,62.6,0,27.1,20.4,16.1,3.0,4.0
36,양평빗물펌프장,2011-06-06 00:00:00,50.5,0,26.9,20.9,15.3,3.0,5.0
37,양평빗물펌프장,2011-06-07 00:00:00,45.8,0.0,26.6,20.9,15.9,3.0,7.0
38,양평빗물펌프장,2011-06-08 00:00:00,55.8,1.5,27.5,22.0,18.2,3.0,7.0
39,양평빗물펌프장,2011-06-09 00:00:00,76.5,0.0,22.0,19.4,17.5,3.0,4.0
40,양평빗물펌프장,2011-06-10 00:00:00,71.4,0.0,24.3,21.4,17.8,3.0,7.0
41,양평빗물펌프장,2011-06-11 00:00:00,45.8,0.0,29.2,24.0,20.6,3.0,22.0
42,양평빗물펌프장,2011-06-12 00:00:00,49.5,0.0,30.2,23.4,19.0,3.0,5.0
43,양평빗물펌프장,2011-06-13 00:00:00,69.9,0.5,26.9,21.0,16.6,3.0,2.0
44,양평빗물펌프장,2011-06-14 00:00:00,57.6,0,29.5,22.8,16.8,3.0,4.0
45,양평빗물펌프장,2011-06-15 00:00:00,50.8,1.0,31.9,25.2,19.1,3.0,9.0
46,양평빗물펌프장,2011-06-16 00:00:00,43.3,0,32.0,26.5,20.3,3.0,1.0
47,양평빗물펌프장,2011-06-17 00:00:00,43.0,0.0,31.3,24.9,22.1,3.0,2.0
48,양평빗물펌프장,2011-06-18 00:00:00,52.5,0,28.9,24.5,20.8,3.0,4.0
49,양평빗물펌프장,2011-06-19 00:00:00,50.4,0,32.9,26.6,20.7,3.0,5.0
50,양평빗물펌프장,2011-06-20 00:00:00,52.5,0,32.0,26.6,22.7,3.0,0.0
51,양평빗물펌프장,2011-06-21 00:00:00,59.9,0,29.6,24.1,19.4,3.0,5.0
52,양평빗물펌프장,2011-06-22 00:00:00,83.6,16.0,24.9,22.7,20.9,3.0,197.0
53,양평빗물펌프장,2011-06-23 00:00:00,92.3,41.0,23.3,22.0,21.2,3.0,7.0
54,양평빗물펌프장,2011-06-24 00:00:00,88.9,10.5,21.6,19.7,18.6,3.0,13.0
55,양평빗물펌프장,2011-06-25 00:00:00,84.9,37.0,20.0,18.3,17.5,3.0,70.0
56,양평빗물펌프장,2011-06-26 00:00:00,82.1,40.0,21.6,19.2,17.2,3.0,14.0
57,양평빗물펌프장,2011-06-27 00:00:00,85.9,11.5,20.5,19.2,18.3,3.0,16.0
58,양평빗물펌프장,2011-06-28 00:00:00,67.3,0.5,29.7,24.1,18.2,3.0,20.0
59,양평빗물펌프장,2011-06-29 00:00:00,92.3,177.0,23.3,21.0,19.7,3.0,20.0
60,양평빗물펌프장,2011-06-30 00:00:00,87.4,46.0,27.9,23.8,21.0,3.0,6.0
61,양평빗물펌프장,2011-07-01 00:00:00,78.9,0,28.6,25.1,22.2,3.0,11.0
62,양평빗물펌프장,2011-07-02 00:00:00,82.3,0.0,26.8,24.7,22.7,3.0,111.0
63,양평빗물펌프장,2011-07-03 00:00:00,92.1,115.0,24.8,22.6,20.7,3.0,22.0
64,양평빗물펌프장,2011-07-04 00:00:00,76.8,0,28.0,22.5,18.9,3.0,10.0
65,양평빗물펌프장,2011-07-05 00:00:00,64.6,0,30.7,24.3,19.0,3.0,34.0
66,양평빗물펌프장,2011-07-06 00:00:00,60.9,0,31.2,25.6,20.4,3.0,387.0
67,양평빗물펌프장,2011-07-07 00:00:00,84.9,42.5,25.3,22.9,20.9,3.0,194.0
68,양평빗물펌프장,2011-07-08 00:00:00,84.1,13.0,24.6,22.4,20.6,3.0,23.0
69,양평빗물펌프장,2011-07-09 00:00:00,83.5,15.0,27.8,23.6,20.8,3.0,47.0
70,양평빗물펌프장,2011-07-10 00:00:00,80.4,6.0,28.4,24.2,21.4,3.0,56.0
71,양평빗물펌프장,2011-07-11 00:00:00,90.3,42.5,22.1,21.2,19.9,3.0,3.0
72,양평빗물펌프장,2011-07-12 00:00:00,87.9,51.5,25.6,22.8,20.9,3.0,23.0
73,양평빗물펌프장,2011-07-13 00:00:00,85.6,29.0,26.2,24.3,22.5,3.0,9.0
74,양평빗물펌프장,2011-07-14 00:00:00,89.5,38.0,24.6,23.6,22.3,3.0,2.0
75,양평빗물펌프장,2011-07-15 00:00:00,89.4,15.0,26.0,23.4,21.6,3.0,9.0
76,양평빗물펌프장,2011-07-16 00:00:00,91.1,54.5,25.3,22.8,21.2,3.0,3.0
77,양평빗물펌프장,2011-07-17 00:00:00,82.5,1.0,29.1,25.1,22.2,3.0,90.0
78,양평빗물펌프장,2011-07-18 00:00:00,62.8,0,34.1,28.7,24.4,3.0,776.0
79,양평빗물펌프장,2011-07-19 00:00:00,55.5,0,32.7,28.5,24.7,3.0,1356.0
80,양평빗물펌프장,2011-07-20 00:00:00,50.3,0,32.6,27.6,23.6,3.0,1718.0
81,양평빗물펌프장,2011-07-21 00:00:00,48.0,0,32.2,27.1,22.3,3.0,24.0
82,양평빗물펌프장,2011-07-22 00:00:00,71.0,1.5,26.6,24.1,21.4,3.0,153.0
83,양평빗물펌프장,2011-07-23 00:00:00,76.3,3.0,29.7,25.4,22.9,3.0,16.0
84,양평빗물펌프장,2011-07-24 00:00:00,81.6,8.0,27.9,24.8,22.8,3.0,28.0
85,양평빗물펌프장,2011-07-25 00:00:00,85.3,27.5,27.9,24.9,23.2,3.0,3.0
86,양평빗물펌프장,2011-07-26 00:00:00,81.0,171.0,29.3,24.8,21.1,3.0,1.0
87,양평빗물펌프장,2011-07-27 00:00:00,92.1,301.5,26.2,24.0,22.3,3.0,0.0
88,양평빗물펌프장,2011-07-28 00:00:00,89.0,115.0,26.3,24.7,22.8,3.0,0.0
89,양평빗물펌프장,2011-07-29 00:00:00,81.6,7.5,30.2,26.2,23.9,3.0,0.0
90,양평빗물펌프장,2011-07-30 00:00:00,75.3,0.0,30.5,27.2,24.4,3.0,0.0
91,양평빗물펌프장,2011-07-31 00:00:00,87.8,73.0,26.6,24.7,23.2,3.0,1.0
92,양평빗물펌프장,2011-08-01 00:00:00,81.1,0.5,29.2,25.6,23.3,3.0,0.0
93,양평빗물펌프장,2011-08-02 00:00:00,77.5,0.5,30.1,26.1,24.4,3.0,0.0
94,양평빗물펌프장,2011-08-03 00:00:00,83.0,41.5,28.1,25.4,23.7,3.0,0.0
95,양평빗물펌프장,2011-08-04 00:00:00,86.3,10.0,28.0,25.4,23.7,3.0,0.0
96,양평빗물펌프장,2011-08-05 00:00:00,67.8,0,34.1,28.9,23.4,3.0,0.0
97,양평빗물펌프장,2011-08-06 00:00:00,67.5,1.5,32.7,28.5,26.1,3.0,0.0
98,양평빗물펌프장,2011-08-07 00:00:00,63.9,4.5,33.0,28.7,24.9,3.0,0.0
99,양평빗물펌프장,2011-08-08 00:00:00,84.8,39.5,27.7,24.7,23.6,3.0,0.0
100,양평빗물펌프장,2011-08-09 00:00:00,76.3,0.0,28.7,26.0,24.4,3.0,0.0
101,양평빗물펌프장,2011-08-10 00:00:00,81.0,0.3,28.9,25.8,23.2,3.0,0.0
102,양평빗물펌프장,2011-08-11 00:00:00,78.9,0.0,29.9,26.6,24.5,3.0,0.0
103,양평빗물펌프장,2011-08-12 00:00:00,86.5,19.5,26.3,25.3,24.1,3.0,0.0
104,양평빗물펌프장,2011-08-13 00:00:00,83.9,6.5,26.6,25.3,23.9,3.0,0.0
105,양평빗물펌프장,2011-08-14 00:00:00,86.8,9.5,26.8,25.0,23.9,3.0,0.0
106,양평빗물펌프장,2011-08-15 00:00:00,87.3,0.5,26.9,24.5,22.9,3.0,0.0
107,양평빗물펌프장,2011-08-16 00:00:00,87.8,16.0,26.2,25.0,23.6,3.0,0.0
108,양평빗물펌프장,2011-08-17 00:00:00,91.1,4.0,24.6,23.7,22.8,3.0,0.0
109,양평빗물펌프장,2011-08-18 00:00:00,73.3,0.0,30.2,25.2,21.5,3.0,0.0
110,양평빗물펌프장,2011-08-19 00:00:00,75.6,0,29.2,24.4,21.7,3.0,0.0
111,양평빗물펌프장,2011-08-20 00:00:00,76.9,0.5,27.0,23.1,20.3,3.0,0.0
112,양평빗물펌프장,2011-08-21 00:00:00,68.4,0,31.0,24.4,18.7,3.0,0.0
113,양평빗물펌프장,2011-08-22 00:00:00,71.4,3.5,29.6,23.5,19.8,3.0,0.0
114,양평빗물펌프장,2011-08-23 00:00:00,60.1,0,30.5,24.3,18.1,3.0,0.0
115,양평빗물펌프장,2011-08-24 00:00:00,57.9,0,28.6,24.8,21.2,3.0,0.0
116,양평빗물펌프장,2011-08-25 00:00:00,57.3,0,30.5,25.7,21.0,3.0,0.0
117,양평빗물펌프장,2011-08-26 00:00:00,57.5,0,30.3,26.4,23.2,3.0,0.0
118,양평빗물펌프장,2011-08-27 00:00:00,59.5,0,31.2,27.6,23.5,3.0,0.0
119,양평빗물펌프장,2011-08-28 00:00:00,66.8,0,32.0,27.3,24.3,3.0,0.0
120,양평빗물펌프장,2011-08-29 00:00:00,75.6,0,29.9,26.8,24.5,3.0,0.0
121,양평빗물펌프장,2011-08-30 00:00:00,70.0,8.5,32.4,27.1,24.2,3.0,0.0
122,양평빗물펌프장,2011-08-31 00:00:00,62.6,0,32.8,27.9,23.6,3.0,0.0
123,양평빗물펌프장,2011-09-01 00:00:00,63.3,0,31.1,27.0,22.9,3.0,366.0
124,양평빗물펌프장,2011-09-02 00:00:00,58.1,0,32.4,26.9,22.9,3.0,2000.0
125,양평빗물펌프장,2011-09-03 00:00:00,48.0,0,30.7,25.1,20.3,3.0,198.0
126,양평빗물펌프장,2011-09-04 00:00:00,47.6,0,30.2,23.7,19.4,3.0,308.0
