,Location,Date,LandUse,Hum5,Raf6,RfD29,Tav16,Tmi2,Tmx19,Level
0,KBS2012,20120101,2,64.5,0.0,0.0,-3.0,-6.9,0.4,1
1,KBS2012,20120102,2,131.0,0.0,0.0,-7.8,-15.2,-0.7999999999999999,1
2,KBS2012,20120103,2,199.3,0.4,1.0,-12.3,-15.1,-1.0,1
3,KBS2012,20120104,2,254.7,0.4,1.0,-19.7,-16.4,-5.3,1
4,KBS2012,20120105,2,304.5,0.4,1.0,-25.4,-19.4,-6.6,1
5,KBS2012,20120106,2,282.9,0.4,1.0,-28.2,-15.4,-5.3,1
6,KBS2012,20120107,2,262.9,0.4,1.0,-32.0,-13.6,-3.3000000000000003,1
7,KBS2012,20120108,2,248.9,0.4,1.0,-34.5,-13.5,-2.9,1
8,KBS2012,20120109,2,259.6,0.0,1.0,-34.8,-7.3,-0.20000000000000007,1
9,KBS2012,20120110,2,263.7,0.0,1.0,-37.3,-7.6,1.3000000000000007,1
10,KBS2012,20120111,2,263.1,0.0,1.0,-43.3,-13.9,-2.0,1
11,KBS2012,20120112,2,273.1,0.0,1.0,-47.9,-18.4,-2.3999999999999986,1
12,KBS2012,20120113,2,271.6,0.0,1.0,-49.1,-14.4,0.20000000000000012,1
13,KBS2012,20120114,2,257.1,0.0,1.0,-50.6,-10.4,2.9000000000000012,1
14,KBS2012,20120115,2,247.7,0.0,1.0,-53.2,-11.0,3.200000000000001,1
15,KBS2012,20120116,2,250.0,0.0,1.0,-52.2,-9.8,11.0,1
16,KBS2012,20120117,2,242.0,0.0,1.0,-46.4,-5.1,19.200000000000006,1
17,KBS2012,20120118,2,229.0,0.0,1.0,-40.2,-2.2,24.6,1
18,KBS2012,20120119,2,231.8,0.2,2.0,-30.4,-0.8000000000000003,33.0,1
19,KBS2012,20120120,2,248.3,0.7,3.0,-17.6,5.1,40.90000000000001,1
20,KBS2012,20120121,2,264.0,0.8,4.0,-9.499999999999998,1.1,47.8,1
21,KBS2012,20120122,2,253.4,0.8,4.0,-14.4,-14.2,45.6,1
22,KBS2012,20120123,2,246.9,0.8,4.0,-20.200000000000014,-23.8,44.6,1
23,KBS2012,20120124,2,232.4,2.4000000000000004,5.0,-25.0,-24.0,42.8,1
24,KBS2012,20120125,2,212.7,2.2,5.0,-32.90000000000001,-23.4,36.5,1
25,KBS2012,20120126,2,206.9,1.7000000000000002,5.0,-33.30000000000001,-20.1,36.3,1
26,KBS2012,20120127,2,233.6,1.6,5.0,-28.20000000000001,-12.9,40.8,1
27,KBS2012,20120128,2,224.7,1.6,5.0,-25.4,-10.4,41.20000000000001,1
28,KBS2012,20120129,2,208.2,1.6,5.0,-27.00000000000001,-11.5,41.3,1
29,KBS2012,20120130,2,189.3,0.0,5.0,-31.1,-14.3,43.8,1
30,KBS2012,20120131,2,183.2,3.9,6.0,-33.2,-17.3,43.90000000000001,1
31,KBS2012,20120201,2,166.5,3.9,5.0,-46.99999999999999,-23.8,33.2,1
