Date,Tav,Tav1,Tav2,Tav3,Tav4,Tav5,Tav6,Tav7,Tav8,Tav9,Tav10,Tav11,Tav12,Tav13,Tav14,Tav15,Tav16,Tav17,Tav18,Tav19,Tav20,Tav21,Tav22,Tav23,Tav24,Tav25,Tav26,Tav27,Tav28,Tav29,Tav30,Tav31
2011-01-01,-6.8,-8.7,-14.799999999999999,-20.5,-23.1,-28.0,-37.3,-48.5,-60.8,-62.699999999999996,-58.699999999999996,-53.8,-49.699999999999996,-44.8,-44.699999999999996,-46.8,-54.5,-65.0,-69.0,-65.3,-66.5,-70.0,-67.1,-68.89999999999999,-68.49999999999999,-69.19999999999999,-66.19999999999999,-57.999999999999986,-56.29999999999998,-56.29999999999998,-46.79999999999998,-46.79999999999998
2011-01-02,-5.4,-6.8,-15.5,-21.6,-27.3,-29.900000000000002,-34.800000000000004,-44.10000000000001,-55.30000000000001,-67.60000000000001,-69.50000000000001,-65.50000000000001,-60.600000000000016,-56.500000000000014,-51.600000000000016,-51.500000000000014,-53.600000000000016,-61.30000000000002,-71.80000000000001,-75.80000000000001,-72.10000000000001,-73.30000000000001,-76.80000000000001,-73.9,-75.7,-75.3,-76.0,-73.0,-64.8,-63.099999999999994,-63.099999999999994,-63.099999999999994
2011-01-03,-4.5,-5.4,-12.2,-20.9,-27.0,-32.7,-35.300000000000004,-40.2,-49.5,-60.7,-73.0,-74.9,-70.9,-66.0,-61.9,-57.0,-56.9,-59.0,-66.7,-77.2,-81.2,-77.5,-78.7,-82.2,-79.3,-81.1,-80.69999999999999,-81.39999999999999,-78.39999999999999,-70.19999999999999,-68.49999999999999,-68.49999999999999
2011-01-04,-3.9,-4.5,-9.9,-16.7,-25.4,-31.5,-37.2,-39.800000000000004,-44.7,-54.0,-65.2,-77.5,-79.4,-75.4,-70.5,-66.4,-61.50000000000001,-61.400000000000006,-63.50000000000001,-71.2,-81.7,-85.7,-82.0,-83.2,-86.7,-83.8,-85.6,-85.19999999999999,-85.89999999999999,-82.89999999999999,-74.69999999999999,-74.69999999999999
2011-01-05,-4.0,-3.9,-8.4,-13.8,-20.6,-29.3,-35.4,-41.1,-43.7,-48.6,-57.900000000000006,-69.10000000000001,-81.4,-83.30000000000001,-79.30000000000001,-74.4,-70.30000000000001,-65.4,-65.30000000000001,-67.4,-75.10000000000001,-85.60000000000001,-89.60000000000001,-85.9,-87.10000000000001,-90.60000000000001,-87.7,-89.5,-89.1,-89.8,-86.8,-86.8
2011-01-06,-7.6,-4.0,-7.9,-12.4,-17.8,-24.6,-33.3,-39.4,-45.1,-47.7,-52.6,-61.900000000000006,-73.10000000000001,-85.4,-87.30000000000001,-83.30000000000001,-78.4,-74.30000000000001,-69.4,-69.30000000000001,-71.4,-79.10000000000001,-89.60000000000001,-93.60000000000001,-89.9,-91.10000000000001,-94.60000000000001,-91.7,-93.5,-93.1,-93.8,-93.8
2011-01-07,-7.0,-7.6,-11.6,-15.5,-20.0,-25.4,-32.199999999999996,-40.89999999999999,-46.99999999999999,-52.699999999999996,-55.3,-60.199999999999996,-69.5,-80.7,-93.0,-94.9,-90.9,-86.0,-81.9,-77.0,-76.9,-79.0,-86.7,-97.2,-101.2,-97.5,-98.7,-102.2,-99.3,-101.1,-100.69999999999999,-100.69999999999999
2011-01-08,-3.6,-7.0,-14.6,-18.6,-22.5,-27.0,-32.4,-39.199999999999996,-47.89999999999999,-53.99999999999999,-59.699999999999996,-62.3,-67.2,-76.5,-87.7,-100.0,-101.9,-97.9,-93.0,-88.9,-84.0,-83.9,-86.0,-93.7,-104.2,-108.2,-104.5,-105.7,-109.2,-106.3,-108.1,-108.1
2011-01-09,-7.0,-3.6,-10.6,-18.2,-22.2,-26.099999999999998,-30.599999999999998,-36.0,-42.8,-51.5,-57.6,-63.300000000000004,-65.9,-70.80000000000001,-80.10000000000001,-91.30000000000001,-103.60000000000001,-105.50000000000001,-101.50000000000001,-96.60000000000001,-92.50000000000001,-87.60000000000001,-87.50000000000001,-89.60000000000001,-97.30000000000001,-107.80000000000001,-111.80000000000001,-108.10000000000001,-109.30000000000001,-112.80000000000001,-109.9,-109.9
2011-01-10,-8.2,-7.0,-10.6,-17.6,-25.200000000000003,-29.200000000000003,-33.1,-37.6,-43.0,-49.8,-58.5,-64.6,-70.3,-72.89999999999999,-77.8,-87.1,-98.3,-110.6,-112.5,-108.5,-103.6,-99.5,-94.6,-94.5,-96.6,-104.3,-114.8,-118.8,-115.1,-116.3,-119.8,-119.8
