Date,Tav,Tav1,Tav2,Tav3,Tav4,Tav5,Tav6,Tav7,Tav8,Tav9,Tav10,Tav11,Tav12,Tav13,Tav14,Tav15,Tav16,Tav17,Tav18,Tav19,Tav20,Tav21,Tav22,Tav23,Tav24,Tav25,Tav26,Tav27,Tav28,Tav29,Tav30,Tav31
2017-01-01,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-02,5.0,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7
2017-01-03,2.0,5.0,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7
2017-01-04,3.9,2.0,7.0,9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.7
2017-01-05,3.8,3.9,5.9,10.9,13.600000000000001,13.600000000000001,13.600000000000001,13.600000000000001,13.600000000000001,13.600000000000001,13.600000000000001,13.600000000000001,13.600000000000001,13.600000000000001,13.600000000000001,13.600000000000001,13.600000000000001,13.600000000000001,13.600000000000001,13.600000000000001,13.600000000000001,13.600000000000001,13.600000000000001,13.600000000000001,13.600000000000001,13.600000000000001,13.600000000000001,13.600000000000001,13.600000000000001,13.600000000000001,13.600000000000001,13.600000000000001
2017-01-06,5.4,3.8,7.699999999999999,9.7,14.7,17.4,17.4,17.4,17.4,17.4,17.4,17.4,17.4,17.4,17.4,17.4,17.4,17.4,17.4,17.4,17.4,17.4,17.4,17.4,17.4,17.4,17.4,17.4,17.4,17.4,17.4,17.4
2017-01-07,4.6,5.4,9.2,13.1,15.1,20.1,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8
2017-01-08,6.5,4.6,10.0,13.8,17.7,19.7,24.7,27.4,27.4,27.4,27.4,27.4,27.4,27.4,27.4,27.4,27.4,27.4,27.4,27.4,27.4,27.4,27.4,27.4,27.4,27.4,27.4,27.4,27.4,27.4,27.4,27.4
2017-01-09,1.5,6.5,11.1,16.5,20.3,24.2,26.2,31.2,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9
2017-01-10,-3.7,1.5,8.0,12.6,18.0,21.8,25.7,27.7,32.7,35.400000000000006,35.400000000000006,35.400000000000006,35.400000000000006,35.400000000000006,35.400000000000006,35.400000000000006,35.400000000000006,35.400000000000006,35.400000000000006,35.400000000000006,35.400000000000006,35.400000000000006,35.400000000000006,35.400000000000006,35.400000000000006,35.400000000000006,35.400000000000006,35.400000000000006,35.400000000000006,35.400000000000006,35.400000000000006,35.400000000000006
2017-01-11,-3.8,-3.7,-2.2,4.3,8.899999999999999,14.299999999999999,18.099999999999998,21.999999999999996,23.999999999999996,28.999999999999996,31.699999999999996,31.699999999999996,31.699999999999996,31.699999999999996,31.699999999999996,31.699999999999996,31.699999999999996,31.699999999999996,31.699999999999996,31.699999999999996,31.699999999999996,31.699999999999996,31.699999999999996,31.699999999999996,31.699999999999996,31.699999999999996,31.699999999999996,31.699999999999996,31.699999999999996,31.699999999999996,31.699999999999996,31.699999999999996
2017-01-12,-2.2,-3.8,-7.5,-6.0,0.5,5.1,10.5,14.3,18.2,20.2,25.2,27.9,27.9,27.9,27.9,27.9,27.9,27.9,27.9,27.9,27.9,27.9,27.9,27.9,27.9,27.9,27.9,27.9,27.9,27.9,27.9,27.9
2017-01-13,-6.0,-2.2,-6.0,-9.7,-8.2,-1.6999999999999993,2.9000000000000004,8.3,12.100000000000001,16.0,18.0,23.0,25.7,25.7,25.7,25.7,25.7,25.7,25.7,25.7,25.7,25.7,25.7,25.7,25.7,25.7,25.7,25.7,25.7,25.7,25.7,25.7
2017-01-14,-8.4,-6.0,-8.2,-12.0,-15.7,-14.2,-7.699999999999999,-3.0999999999999996,2.3000000000000007,6.1000000000000005,10.0,12.0,17.0,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7
2017-01-15,-6.6,-8.4,-14.4,-16.6,-20.400000000000002,-24.1,-22.6,-16.1,-11.500000000000002,-6.100000000000001,-2.3000000000000016,1.5999999999999983,3.5999999999999983,8.599999999999998,11.299999999999997,11.299999999999997,11.299999999999997,11.299999999999997,11.299999999999997,11.299999999999997,11.299999999999997,11.299999999999997,11.299999999999997,11.299999999999997,11.299999999999997,11.299999999999997,11.299999999999997,11.299999999999997,11.299999999999997,11.299999999999997,11.299999999999997,11.299999999999997
2017-01-16,-3.8,-6.6,-15.0,-21.0,-23.2,-27.0,-30.7,-29.2,-22.7,-18.1,-12.700000000000001,-8.900000000000002,-5.000000000000002,-3.0000000000000018,1.9999999999999982,4.699999999999998,4.699999999999998,4.699999999999998,4.699999999999998,4.699999999999998,4.699999999999998,4.699999999999998,4.699999999999998,4.699999999999998,4.699999999999998,4.699999999999998,4.699999999999998,4.699999999999998,4.699999999999998,4.699999999999998,4.699999999999998,4.699999999999998
2017-01-17,-2.0,-3.8,-10.399999999999999,-18.799999999999997,-24.799999999999997,-26.999999999999996,-30.799999999999997,-34.5,-33.0,-26.5,-21.9,-16.5,-12.7,-8.799999999999999,-6.799999999999999,-1.799999999999999,0.9000000000000012,0.9000000000000012,0.9000000000000012,0.9000000000000012,0.9000000000000012,0.9000000000000012,0.9000000000000012,0.9000000000000012,0.9000000000000012,0.9000000000000012,0.9000000000000012,0.9000000000000012,0.9000000000000012,0.9000000000000012,0.9000000000000012,0.9000000000000012
2017-01-18,-0.5,-2.0,-5.8,-12.399999999999999,-20.799999999999997,-26.799999999999997,-28.999999999999996,-32.8,-36.5,-35.0,-28.5,-23.9,-18.5,-14.7,-10.799999999999999,-8.799999999999999,-3.799999999999999,-1.0999999999999988,-1.0999999999999988,-1.0999999999999988,-1.0999999999999988,-1.0999999999999988,-1.0999999999999988,-1.0999999999999988,-1.0999999999999988,-1.0999999999999988,-1.0999999999999988,-1.0999999999999988,-1.0999999999999988,-1.0999999999999988,-1.0999999999999988,-1.0999999999999988
2017-01-19,-1.2,-0.5,-2.5,-6.3,-12.899999999999999,-21.299999999999997,-27.299999999999997,-29.499999999999996,-33.3,-37.0,-35.5,-29.0,-24.4,-19.0,-15.2,-11.299999999999999,-9.299999999999999,-4.299999999999999,-1.5999999999999988,-1.5999999999999988,-1.5999999999999988,-1.5999999999999988,-1.5999999999999988,-1.5999999999999988,-1.5999999999999988,-1.5999999999999988,-1.5999999999999988,-1.5999999999999988,-1.5999999999999988,-1.5999999999999988,-1.5999999999999988,-1.5999999999999988
2017-01-20,-4.4,-1.2,-1.7,-3.7,-7.5,-14.1,-22.5,-28.5,-30.7,-34.5,-38.2,-36.7,-30.200000000000003,-25.6,-20.200000000000003,-16.400000000000002,-12.500000000000002,-10.500000000000002,-5.500000000000002,-2.8000000000000016,-2.8000000000000016,-2.8000000000000016,-2.8000000000000016,-2.8000000000000016,-2.8000000000000016,-2.8000000000000016,-2.8000000000000016,-2.8000000000000016,-2.8000000000000016,-2.8000000000000016,-2.8000000000000016,-2.8000000000000016
2017-01-21,-5.2,-4.4,-5.6000000000000005,-6.1000000000000005,-8.100000000000001,-11.900000000000002,-18.5,-26.9,-32.9,-35.1,-38.9,-42.6,-41.1,-34.6,-30.0,-24.6,-20.8,-16.900000000000002,-14.900000000000002,-9.900000000000002,-7.200000000000002,-7.200000000000002,-7.200000000000002,-7.200000000000002,-7.200000000000002,-7.200000000000002,-7.200000000000002,-7.200000000000002,-7.200000000000002,-7.200000000000002,-7.200000000000002,-7.200000000000002
