Date,Tmi,Tmi1,Tmi2,Tmi3,Tmi4,Tmi5,Tmi6,Tmi7,Tmi8,Tmi9,Tmi10,Tmi11,Tmi12,Tmi13,Tmi14,Tmi15,Tmi16,Tmi17,Tmi18,Tmi19,Tmi20,Tmi21,Tmi22,Tmi23,Tmi24,Tmi25,Tmi26,Tmi27,Tmi28,Tmi29,Tmi30,Tmi31
2011-01-01,-10.4,-10.7,-19.7,-29.1,-35.1,-44.5,-58.1,-72.4,-87.5,-97.0,-96.7,-95.8,-94.2,-93.5,-98.1,-103.6,-116.5,-129.2,-139.29999999999998,-137.6,-144.2,-150.39999999999998,-153.2,-157.5,-159.6,-164.4,-167.6,-162.7,-166.29999999999998,-168.99999999999997,-163.49999999999997,-163.49999999999997
2011-01-02,-8.5,-10.4,-21.1,-30.1,-39.5,-45.5,-54.9,-68.5,-82.8,-97.89999999999999,-107.39999999999999,-107.1,-106.19999999999999,-104.6,-103.89999999999999,-108.49999999999999,-113.99999999999999,-126.89999999999999,-139.6,-149.7,-148.0,-154.6,-160.79999999999998,-163.6,-167.9,-170.0,-174.8,-178.0,-173.1,-176.7,-179.39999999999998,-179.39999999999998
2011-01-03,-8.5,-8.5,-18.9,-29.599999999999998,-38.599999999999994,-47.99999999999999,-53.99999999999999,-63.39999999999999,-76.99999999999999,-91.29999999999998,-106.39999999999998,-115.89999999999998,-115.59999999999998,-114.69999999999997,-113.09999999999998,-112.39999999999998,-116.99999999999997,-122.49999999999997,-135.39999999999998,-148.09999999999997,-158.19999999999996,-156.49999999999997,-163.09999999999997,-169.29999999999995,-172.09999999999997,-176.39999999999998,-178.49999999999997,-183.29999999999998,-186.49999999999997,-181.59999999999997,-185.19999999999996,-185.19999999999996
2011-01-04,-7.4,-8.5,-17.0,-27.4,-38.099999999999994,-47.099999999999994,-56.49999999999999,-62.49999999999999,-71.89999999999999,-85.49999999999999,-99.79999999999998,-114.89999999999998,-124.39999999999998,-124.09999999999998,-123.19999999999997,-121.59999999999998,-120.89999999999998,-125.49999999999997,-130.99999999999997,-143.89999999999998,-156.59999999999997,-166.69999999999996,-164.99999999999997,-171.59999999999997,-177.79999999999995,-180.59999999999997,-184.89999999999998,-186.99999999999997,-191.79999999999998,-194.99999999999997,-190.09999999999997,-190.09999999999997
2011-01-05,-7.7,-7.4,-15.9,-24.4,-34.8,-45.5,-54.5,-63.9,-69.9,-79.30000000000001,-92.9,-107.2,-122.3,-131.8,-131.5,-130.6,-129.0,-128.3,-132.9,-138.4,-151.3,-164.0,-174.1,-172.4,-179.0,-185.2,-188.0,-192.3,-194.4,-199.20000000000002,-202.4,-202.4
2011-01-06,-9.8,-7.7,-15.100000000000001,-23.6,-32.1,-42.5,-53.2,-62.2,-71.60000000000001,-77.60000000000001,-87.00000000000001,-100.60000000000001,-114.9,-130.0,-139.5,-139.2,-138.29999999999998,-136.7,-136.0,-140.6,-146.1,-159.0,-171.7,-181.79999999999998,-180.1,-186.7,-192.89999999999998,-195.7,-200.0,-202.1,-206.9,-206.9
2011-01-07,-10.6,-9.8,-17.5,-24.9,-33.4,-41.9,-52.3,-63.0,-72.0,-81.4,-87.4,-96.80000000000001,-110.4,-124.7,-139.8,-149.3,-149.0,-148.1,-146.5,-145.8,-150.4,-155.9,-168.8,-181.5,-191.6,-189.9,-196.5,-202.7,-205.5,-209.8,-211.9,-211.9
2011-01-08,-8.2,-10.6,-20.4,-28.099999999999998,-35.5,-44.0,-52.5,-62.9,-73.6,-82.6,-92.0,-98.0,-107.4,-121.0,-135.3,-150.4,-159.9,-159.6,-158.7,-157.1,-156.4,-161.0,-166.5,-179.4,-192.1,-202.2,-200.5,-207.1,-213.29999999999998,-216.1,-220.4,-220.4
2011-01-09,-10.3,-8.2,-18.799999999999997,-28.599999999999998,-36.3,-43.699999999999996,-52.199999999999996,-60.699999999999996,-71.1,-81.8,-90.8,-100.2,-106.2,-115.60000000000001,-129.20000000000002,-143.50000000000003,-158.60000000000002,-168.10000000000002,-167.8,-166.9,-165.3,-164.60000000000002,-169.20000000000002,-174.70000000000002,-187.60000000000002,-200.3,-210.4,-208.70000000000002,-215.3,-221.5,-224.3,-224.3
2011-01-10,-11.8,-10.3,-18.5,-29.1,-38.900000000000006,-46.60000000000001,-54.00000000000001,-62.50000000000001,-71.0,-81.4,-92.10000000000001,-101.10000000000001,-110.50000000000001,-116.50000000000001,-125.90000000000002,-139.50000000000003,-153.80000000000004,-168.90000000000003,-178.40000000000003,-178.10000000000002,-177.20000000000002,-175.60000000000002,-174.90000000000003,-179.50000000000003,-185.00000000000003,-197.90000000000003,-210.60000000000002,-220.70000000000002,-219.00000000000003,-225.60000000000002,-231.8,-231.8
2011-01-11,-7.8,-11.8,-22.1,-30.3,-40.9,-50.7,-58.400000000000006,-65.80000000000001,-74.30000000000001,-82.80000000000001,-93.20000000000002,-103.90000000000002,-112.90000000000002,-122.30000000000003,-128.3,-137.70000000000002,-151.3,-165.60000000000002,-180.70000000000002,-190.20000000000002,-189.9,-189.0,-187.4,-186.70000000000002,-191.3,-196.8,-209.70000000000002,-222.4,-232.5,-230.8,-237.4,-237.4
2011-01-12,-11.1,-7.8,-19.6,-29.900000000000002,-38.1,-48.7,-58.5,-66.2,-73.60000000000001,-82.10000000000001,-90.60000000000001,-101.00000000000001,-111.70000000000002,-120.70000000000002,-130.10000000000002,-136.10000000000002,-145.50000000000003,-159.10000000000002,-173.40000000000003,-188.50000000000003,-198.00000000000003,-197.70000000000002,-196.8,-195.20000000000002,-194.50000000000003,-199.10000000000002,-204.60000000000002,-217.50000000000003,-230.20000000000002,-240.3,-238.60000000000002,-238.60000000000002
