Date,Tmx,Tmx1,Tmx2,Tmx3,Tmx4,Tmx5,Tmx6,Tmx7,Tmx8,Tmx9,Tmx10,Tmx11,Tmx12,Tmx13,Tmx14,Tmx15,Tmx16,Tmx17,Tmx18,Tmx19,Tmx20,Tmx21,Tmx22,Tmx23,Tmx24,Tmx25,Tmx26,Tmx27,Tmx28,Tmx29,Tmx30,Tmx31
2017-01-01,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-02,9.2,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9
2017-01-03,7.7,9.2,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1
2017-01-04,8.9,7.7,16.9,23.799999999999997,23.799999999999997,23.799999999999997,23.799999999999997,23.799999999999997,23.799999999999997,23.799999999999997,23.799999999999997,23.799999999999997,23.799999999999997,23.799999999999997,23.799999999999997,23.799999999999997,23.799999999999997,23.799999999999997,23.799999999999997,23.799999999999997,23.799999999999997,23.799999999999997,23.799999999999997,23.799999999999997,23.799999999999997,23.799999999999997,23.799999999999997,23.799999999999997,23.799999999999997,23.799999999999997,23.799999999999997,23.799999999999997
2017-01-05,7.3,8.9,16.6,25.8,32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7
2017-01-06,11.4,7.3,16.2,23.9,33.099999999999994,39.99999999999999,39.99999999999999,39.99999999999999,39.99999999999999,39.99999999999999,39.99999999999999,39.99999999999999,39.99999999999999,39.99999999999999,39.99999999999999,39.99999999999999,39.99999999999999,39.99999999999999,39.99999999999999,39.99999999999999,39.99999999999999,39.99999999999999,39.99999999999999,39.99999999999999,39.99999999999999,39.99999999999999,39.99999999999999,39.99999999999999,39.99999999999999,39.99999999999999,39.99999999999999,39.99999999999999
2017-01-07,10.5,11.4,18.7,27.6,35.300000000000004,44.5,51.4,51.4,51.4,51.4,51.4,51.4,51.4,51.4,51.4,51.4,51.4,51.4,51.4,51.4,51.4,51.4,51.4,51.4,51.4,51.4,51.4,51.4,51.4,51.4,51.4,51.4
2017-01-08,10.9,10.5,21.9,29.2,38.1,45.800000000000004,55.0,61.9,61.9,61.9,61.9,61.9,61.9,61.9,61.9,61.9,61.9,61.9,61.9,61.9,61.9,61.9,61.9,61.9,61.9,61.9,61.9,61.9,61.9,61.9,61.9,61.9
2017-01-09,4.3,10.9,21.4,32.8,40.099999999999994,48.99999999999999,56.699999999999996,65.89999999999999,72.8,72.8,72.8,72.8,72.8,72.8,72.8,72.8,72.8,72.8,72.8,72.8,72.8,72.8,72.8,72.8,72.8,72.8,72.8,72.8,72.8,72.8,72.8,72.8
2017-01-10,1.1,4.3,15.2,25.7,37.1,44.4,53.3,61.0,70.2,77.10000000000001,77.10000000000001,77.10000000000001,77.10000000000001,77.10000000000001,77.10000000000001,77.10000000000001,77.10000000000001,77.10000000000001,77.10000000000001,77.10000000000001,77.10000000000001,77.10000000000001,77.10000000000001,77.10000000000001,77.10000000000001,77.10000000000001,77.10000000000001,77.10000000000001,77.10000000000001,77.10000000000001,77.10000000000001,77.10000000000001
2017-01-11,1.5,1.1,5.4,16.3,26.8,38.2,45.5,54.4,62.1,71.3,78.2,78.2,78.2,78.2,78.2,78.2,78.2,78.2,78.2,78.2,78.2,78.2,78.2,78.2,78.2,78.2,78.2,78.2,78.2,78.2,78.2,78.2
2017-01-12,1.0,1.5,2.6,6.9,17.8,28.3,39.7,47.0,55.9,63.6,72.8,79.7,79.7,79.7,79.7,79.7,79.7,79.7,79.7,79.7,79.7,79.7,79.7,79.7,79.7,79.7,79.7,79.7,79.7,79.7,79.7,79.7
2017-01-13,-1.4,1.0,2.5,3.6,7.9,18.8,29.3,40.7,48.0,56.9,64.6,73.8,80.7,80.7,80.7,80.7,80.7,80.7,80.7,80.7,80.7,80.7,80.7,80.7,80.7,80.7,80.7,80.7,80.7,80.7,80.7,80.7
2017-01-14,-5.4,-1.4,-0.3999999999999999,1.1,2.2,6.5,17.4,27.9,39.3,46.599999999999994,55.49999999999999,63.199999999999996,72.39999999999999,79.3,79.3,79.3,79.3,79.3,79.3,79.3,79.3,79.3,79.3,79.3,79.3,79.3,79.3,79.3,79.3,79.3,79.3,79.3
2017-01-15,-0.9,-5.4,-6.800000000000001,-5.800000000000001,-4.300000000000001,-3.2000000000000006,1.0999999999999992,12.0,22.5,33.9,41.199999999999996,50.099999999999994,57.8,67.0,73.9,73.9,73.9,73.9,73.9,73.9,73.9,73.9,73.9,73.9,73.9,73.9,73.9,73.9,73.9,73.9,73.9,73.9
2017-01-16,4.0,-0.9,-6.300000000000001,-7.700000000000001,-6.700000000000001,-5.200000000000001,-4.100000000000001,0.1999999999999984,11.099999999999998,21.599999999999998,33.0,40.3,49.199999999999996,56.9,66.1,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0
2017-01-17,3.4,4.0,3.1,-2.3000000000000003,-3.7,-2.7,-1.2000000000000002,-0.10000000000000009,4.199999999999999,15.1,25.6,37.0,44.3,53.199999999999996,60.9,70.1,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0
2017-01-18,2.8,3.4,7.4,6.5,1.0999999999999996,-0.30000000000000027,0.6999999999999997,2.1999999999999997,3.3,7.6,18.5,29.0,40.4,47.699999999999996,56.599999999999994,64.3,73.5,80.4,80.4,80.4,80.4,80.4,80.4,80.4,80.4,80.4,80.4,80.4,80.4,80.4,80.4,80.4
2017-01-19,4.7,2.8,6.199999999999999,10.2,9.299999999999999,3.8999999999999986,2.4999999999999987,3.4999999999999987,4.999999999999998,6.099999999999998,10.399999999999999,21.299999999999997,31.799999999999997,43.199999999999996,50.49999999999999,59.39999999999999,67.1,76.3,83.2,83.2,83.2,83.2,83.2,83.2,83.2,83.2,83.2,83.2,83.2,83.2,83.2,83.2
2017-01-20,-1.4,4.7,7.5,10.9,14.9,14.0,8.6,7.199999999999999,8.2,9.7,10.799999999999999,15.099999999999998,26.0,36.5,47.9,55.199999999999996,64.1,71.8,81.0,87.9,87.9,87.9,87.9,87.9,87.9,87.9,87.9,87.9,87.9,87.9,87.9,87.9
2017-01-21,-0.9,-1.4,3.3000000000000003,6.1,9.5,13.5,12.6,7.199999999999999,5.799999999999999,6.799999999999999,8.299999999999999,9.399999999999999,13.7,24.6,35.1,46.5,53.8,62.699999999999996,70.39999999999999,79.6,86.5,86.5,86.5,86.5,86.5,86.5,86.5,86.5,86.5,86.5,86.5,86.5
