Date,Hum20,Raf30,RaD30,Tav5,Tmi30,Tmx5,landUse,Level
2011-05-01 00:00:00,1090.4999999999998,110.1,9.0,48.0,198.9,62.5,3.0,4.0
2011-05-02 00:00:00,1127.3,110.1,9.0,49.1,203.5,64.0,3.0,4.0
2011-05-03 00:00:00,1140.8,110.1,9.0,52.90000000000001,207.1,69.4,3.0,4.0
2011-05-04 00:00:00,1140.5,110.1,9.0,55.0,214.49999999999997,71.6,3.0,4.0
2011-05-05 00:00:00,1104.9,110.1,9.0,57.90000000000001,220.0,78.80000000000003,3.0,1.0
2011-05-06 00:00:00,1114.4999999999998,110.1,9.0,75.4,227.5,102.5,3.0,1.0
2011-05-07 00:00:00,1127.9999999999998,103.6,9.0,78.3,232.2,104.7,3.0,1.0
2011-05-08 00:00:00,1138.4999999999998,107.1,10.0,78.6,236.3,105.8,3.0,1.0
2011-05-09 00:00:00,1153.0,107.1,10.0,80.60000000000002,239.8,109.3,3.0,1.0
2011-05-10 00:00:00,1182.5000000000002,109.6,10.0,82.30000000000003,246.2,109.5,3.0,1.0
2011-05-11 00:00:00,1239.4,116.1,11.0,81.30000000000003,254.7,104.29999999999998,3.0,1.0
2011-05-12 00:00:00,1230.1,130.1,12.0,83.10000000000002,264.2,107.5,3.0,1.0
2011-05-13 00:00:00,1234.5,130.1,12.0,84.3,270.0,105.9,3.0,1.0
2011-05-14 00:00:00,1232.5,130.1,12.0,81.6,273.7,102.4,3.0,4.0
2011-05-15 00:00:00,1211.3,130.0,11.0,81.2,276.4,103.3,3.0,1.0
2011-05-16 00:00:00,1179.3,130.0,11.0,81.9,283.5,107.70000000000002,3.0,1.0
2011-05-17 00:00:00,1153.4,130.0,11.0,81.1,286.4,108.8,3.0,4.0
2011-05-18 00:00:00,1131.8000000000004,128.0,10.0,82.89999999999998,292.2,111.4,3.0,4.0
2011-05-19 00:00:00,1125.3,128.0,10.0,88.8,299.4000000000001,116.20000000000002,3.0,4.0
2011-05-20 00:00:00,1092.1,128.4,11.0,92.3,311.9,116.9,3.0,1.0
2011-05-21 00:00:00,1181.9,143.4,12.0,92.6,319.50000000000006,114.5,3.0,1.0
2011-05-22 00:00:00,1192.0999999999995,126.4,12.0,90.7,324.7000000000001,110.0,3.0,4.0
2011-05-23 00:00:00,1192.3,126.4,12.0,90.5,329.30000000000007,110.5,3.0,1.0
2011-05-24 00:00:00,1193.4999999999998,126.4,12.0,89.5,338.5,111.0,3.0,1.0
2011-05-25 00:00:00,1191.4999999999998,126.4,12.0,90.3,345.4000000000001,115.4,3.0,1.0
2011-05-26 00:00:00,1196.9999999999998,123.9,11.0,95.5,353.0,123.1,3.0,1.0
