Date,Location,Hum5,Raf6,RaD29,Tav16,Tmi2,Tmx19,landUse,Mosq
2011-05-01 00:00:00,양평빗물펌프장,272.3,80.5,9.0,164.4,10.6,285.9,3.0,83.0
2011-05-02 00:00:00,양평빗물펌프장,272.9,78.0,9.0,164.8,9.9,284.2,3.0,83.0
2011-05-03 00:00:00,양평빗물펌프장,273.5,73.0,9.0,167.0,18.4,286.1,3.0,83.0
2011-05-04 00:00:00,양평빗물펌프장,270.20000000000005,73.0,9.0,175.60000000000005,20.4,287.69999999999993,3.0,83.0
2011-05-05 00:00:00,양평빗물펌프장,218.1,69.0,9.0,180.7,22.5,291.1,3.0,0.0
2011-05-06 00:00:00,양평빗물펌프장,254.0,0.0,8.0,187.00000000000003,23.3,296.4,3.0,0.0
2011-05-07 00:00:00,양평빗물펌프장,242.4,0.5,9.0,188.9,25.9,303.6,3.0,0.0
2011-05-08 00:00:00,양평빗물펌프장,265.4,4.0,10.0,194.5,24.7,309.2000000000001,3.0,0.0
2011-05-09 00:00:00,양평빗물펌프장,277.4,4.0,9.0,202.1,21.8,316.49999999999994,3.0,0.0
2011-05-10 00:00:00,양평빗물펌프장,314.7,8.0,10.0,210.00000000000003,24.9,320.49999999999994,3.0,0.0
2011-05-11 00:00:00,양평빗물펌프장,368.1,14.5,11.0,215.2,29.1,324.4999999999999,3.0,0.0
2011-05-12 00:00:00,양평빗물펌프장,379.4,28.5,12.0,221.9,28.9,331.3999999999998,3.0,0.0
2011-05-13 00:00:00,양평빗물펌프장,362.8,28.0,12.0,226.2,25.9,337.69999999999993,3.0,0.0
2011-05-14 00:00:00,양평빗물펌프장,363.2,24.5,11.0,230.4,21.8,342.6,3.0,83.0
2011-05-15 00:00:00,양평빗물펌프장,324.2,24.5,11.0,234.40000000000003,22.4,354.1,3.0,0.0
2011-05-16 00:00:00,양평빗물펌프장,284.9,20.5,11.0,238.6,25.1,362.8,3.0,0.0
2011-05-17 00:00:00,양평빗물펌프장,258.7,14.0,10.0,255.00000000000003,23.9,369.70000000000016,3.0,83.0
2011-05-18 00:00:00,양평빗물펌프장,230.1,0.0,10.0,260.00000000000006,22.5,374.1,3.0,83.0
2011-05-19 00:00:00,양평빗물펌프장,214.5,0.0,10.0,266.3,25.4,384.9,3.0,83.0
2011-05-20 00:00:00,양평빗물펌프장,235.1,0.4,11.0,271.7,32.6,408.5,3.0,8.0
2011-05-21 00:00:00,양평빗물펌프장,274.9,15.4,11.0,273.29999999999995,34.4,413.3,3.0,1.0
2011-05-22 00:00:00,양평빗물펌프장,311.6,17.4,12.0,270.29999999999995,28.2,410.3,3.0,83.0
2011-05-23 00:00:00,양평빗물펌프장,333.99999999999994,17.4,12.0,272.2,23.3,413.0,3.0,0.0
2011-05-24 00:00:00,양평빗물펌프장,338.4,17.4,12.0,277.2,26.0,417.1,3.0,0.0
2011-05-25 00:00:00,양평빗물펌프장,317.5,17.4,11.0,281.4,29.4,421.4,3.0,0.0
2011-05-26 00:00:00,양평빗물펌프장,269.1,17.0,10.0,286.49999999999994,30.8,431.70000000000016,3.0,0.0
2011-05-27 00:00:00,양평빗물펌프장,231.90000000000003,2.0,10.0,290.69999999999993,34.599999999999994,433.9,3.0,83.0
2011-05-28 00:00:00,양평빗물펌프장,227.6,0.0,9.0,293.6,33.5,434.3,3.0,83.0
2011-05-29 00:00:00,양평빗물펌프장,230.3,0.0,8.0,300.3,31.3,441.2,3.0,83.0
2011-05-30 00:00:00,양평빗물펌프장,231.2,0.0,8.0,310.1,34.099999999999994,453.9,3.0,83.0
2011-05-31 00:00:00,양평빗물펌프장,231.4,0.0,8.0,315.6,37.0,460.9,3.0,1.0
2011-06-01 00:00:00,양평빗물펌프장,231.4,0.0,8.0,315.6,37.0,460.9,3.0,3.0
2011-06-02 00:00:00,양평빗물펌프장,260.4,21.5,9.0,316.4,33.3,462.3,3.0,1.0
2011-06-03 00:00:00,양평빗물펌프장,280.5,21.5,9.0,318.99999999999994,29.8,466.3999999999999,3.0,1.0
2011-06-04 00:00:00,양평빗물펌프장,299.5,21.5,9.0,320.49999999999994,29.5,468.3,3.0,3.0
2011-06-05 00:00:00,양평빗물펌프장,335.9000000000001,22.0,10.0,318.7,30.20000000000001,470.0,3.0,4.0
2011-06-06 00:00:00,양평빗물펌프장,356.9,22.0,9.0,318.4,31.9,474.9,3.0,5.0
2011-06-07 00:00:00,양평빗물펌프장,330.5,22.0,8.0,321.8,31.4,479.0,3.0,7.0
2011-06-08 00:00:00,양평빗물펌프장,302.7,0.5,8.0,328.2,31.20000000000001,480.19999999999993,3.0,7.0
